Vivado Simulator 2019.1
Time resolution is 1 ps
Time:            448005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            473605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            474245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            478085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            480005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            505605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            506245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            510085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            537605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            538245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            542085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            544005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            569605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            570245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            574085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            576005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            601605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            602245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            606085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            608005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            633605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            634245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            638085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            665605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            666245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            670085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            672005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            697605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            698245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            702085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            704005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            729605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            730245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            734085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            736005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            761605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            762245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            766085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            793605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            794245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            798085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            800005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            825605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            826245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            830085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            832005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            857605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            858245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            862085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            864005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            889605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            890245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            894085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            921605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            922245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
